,name_brewery,name_location,social_twitterUrl,social_facebookUrl,social_instagramUrl,social_untappdId,lat,lng,street,city,state,country,tag_dogFriendly,tag_familyFriendly,tag_foodService,tag_foodTrucks,tag_growlerFills,tag_over21
53,Latitude 33 Brewing,Town Center Community Park East,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.848857,-116.9787889,550 Park Center Drive,Santee,California,US,False,False,False,False,False,False
54,Latitude 33 Brewing,Buffalo Wild Wings ,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,33.0671618,-117.2632703,1068 N El Camino Real,encinitas ,California,US,False,False,False,False,False,False
55,Latitude 33 Brewing,Buffalo Wild Wings Mission Valley ,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.7679317,-117.1511507,1640 Camino Del Rio N,Mission Valley ,California,US,False,False,False,False,False,False
56,Latitude 33 Brewing,Buffalo Wild Wings Mission Valley ,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.7679317,-117.1511507,1640 Camino Del Rio N,Mission Valley ,California,US,False,False,False,False,False,False
57,Latitude 33 Brewing,Buffalo Wild Wings Oceanside ,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,33.1818171,-117.3292562,2685 Vista Way,Oceanside,California,US,False,False,False,False,False,False
58,Latitude 33 Brewing,Buffalo Wild Wings Oceanside ,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,33.1818171,-117.3292562,2685 Vista Way,Oceanside,California,US,False,False,False,False,False,False
59,Latitude 33 Brewing,Buffalo Wild Wings Oceanside ,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,33.1818171,-117.3292562,2685 Vista Way,Oceanside,California,US,False,False,False,False,False,False
60,Latitude 33 Brewing,Buffalo Wild Wings San Marcos ,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,33.1351394,-117.1889236,1010 San Marcos Blvd.,San Marcos,California,US,False,False,False,False,False,False
61,Latitude 33 Brewing,Buffalo Wild Wings Chula Vista Center ,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.6303967,-117.0849871,555 Broadway,Chula Vista ,California,US,False,False,False,False,False,False
62,Latitude 33 Brewing,Buffalo Wild Wings Eastlake ,https://twitter.com/latitude33brew,https://www.facebook.com/latitude33brew,https://www.instagram.com/latitude33brew/,22526,32.625087,-116.9667112,2015 Birch Rd.,Chula Vista ,California,US,False,False,False,False,False,False
63,Mike Hess Brewing Co.,Mike Hess Brewing Ocean Beach,https://twitter.com/mikehessbrewing,https://www.facebook.com/MikeHessBrewingCoNorthPark,http://instagram.com/mikehessbrewing,2174,32.750713,-117.2448995,4893 Voltaire St,San Diego,California,US,True,True,False,False,True,False
64,Mike Hess Brewing Co.,Mike Hess Brewing North Park,https://twitter.com/mikehessbrewing,https://www.facebook.com/MikeHessBrewingCoNorthPark,http://instagram.com/mikehessbrewing,2174,32.7476888,-117.1285434,3812 Grim Avenue,San Diego,California,US,True,True,False,False,True,False
65,Mike Hess Brewing Co.,Mike Hess Brewing Miramar,https://twitter.com/mikehessbrewing,https://www.facebook.com/MikeHessBrewingCoNorthPark,http://instagram.com/mikehessbrewing,2174,32.8892474,-117.149775,"7955 Silverton Avenue, Suite 1201",San Diego,California,US,True,True,False,False,True,False
66,Mike Hess Brewing Co.,Mike Hess Brewing Imperial Beach,https://twitter.com/mikehessbrewing,https://www.facebook.com/MikeHessBrewingCoNorthPark,http://instagram.com/mikehessbrewing,2174,32.5807547,-117.1320645,805 Ocean Lane,Imperial Beach,California,US,True,True,True,False,True,False
67,Black Plague Brewing,Black Plague Brewing Taproom,https://twitter.com/blackplaguebeer,https://www.facebook.com/blackplaguebrewing,https://www.instagram.com/BlackPlagueBrewing/,299538,33.2156371,-117.2667695,2550 Jason Court,Oceanside,California,US,True,True,False,True,True,False
68,Black Plague Brewing,Twin Oaks Valley Golf Course & Banquet Hall,https://twitter.com/blackplaguebeer,https://www.facebook.com/blackplaguebrewing,https://www.instagram.com/BlackPlagueBrewing/,299538,33.1647898,-117.1588506,1425 N Twin Oaks Valley Rd,San Marcos,California,US,False,False,False,False,False,False
69,Indian Joe Brewing Company,Indian Joe Brewing,https://twitter.com/IndianJoeBeer,www.facebook.com/IndianJoeBrewing,http://instagram.com/indianjoebrewing,40476,33.1522214,-117.2281046,2123 Industrial Ct.,Vista,California,US,True,True,False,True,True,False
70,Mother Earth Brewing Company,Mother Earth Brewing Company - Production Facility and Tasting Room,https://twitter.com/MotherEarthBrCo,https://www.facebook.com/MotherEarthBrewCo,https://instagram.com/MotherEarthBrewCo,5092,43.597409,-116.560701,1428 Madison Ave. Bldg. 21K,Nampa,California,US,True,True,False,False,True,False
71,Mother Earth Brewing Company,Mother Earth Brewing Company - Tap House,https://twitter.com/MotherEarthBrCo,https://www.facebook.com/MotherEarthBrewCo,https://instagram.com/MotherEarthBrewCo,5092,33.2024551,-117.2423369,206 Main Street ,Vista,California,US,True,True,False,False,True,False
72,Mother Earth Brewing Company,Mother's Provisions - Wine and Beer Bar,https://twitter.com/MotherEarthBrCo,https://www.facebook.com/MotherEarthBrewCo,https://instagram.com/MotherEarthBrewCo,5092,33.2024259,-117.2424147,204 Main St.,Vista,California,US,False,True,True,False,False,False
73,Mother Earth Brewing Company,Mother Earth Production Facility,https://twitter.com/MotherEarthBrCo,https://www.facebook.com/MotherEarthBrewCo,https://instagram.com/MotherEarthBrewCo,5092,33.1677133,-117.2203174,2055 Thibodo Rd,Vista,California,US,False,False,False,False,False,False
74,Mason Ale Works,Mason Ale Works Production Facility Brewery,https://twitter.com/masonaleworks,https://www.facebook.com/MasonAleWorks,https://www.instagram.com/masonaleworks/,246213,33.1358939,-117.1585644,255 Redel Rd,San Marcos,California,US,True,True,True,False,False,False
75,Mason Ale Works,Mason Ale Works Tasting Room + Kitchen,https://twitter.com/masonaleworks,https://www.facebook.com/MasonAleWorks,https://www.instagram.com/masonaleworks/,246213,32.9288731,-117.1975497,5500 Carmel Mountain Rd #1134,San Diego,California,US,True,True,True,False,False,False
